,Symbol,Industry
0,ATVI,Electronic Gaming & Multimedia
1,ADBE,Software—Infrastructure
2,ADP,Staffing & Employment Services
3,ABNB,Travel Services
4,ALGN,Medical Devices
5,GOOGL,Internet Content & Information
6,GOOG,Internet Content & Information
7,AMZN,Internet Retail
8,AMD,Semiconductors
9,AEP,Utilities—Regulated Electric
10,AMGN,Drug Manufacturers—General
11,ADI,Semiconductors
12,ANSS,Software—Application
13,AAPL,Consumer Electronics
14,AMAT,Semiconductor Equipment & Materials
15,ASML,Semiconductor Equipment & Materials
16,AZN,Drug Manufacturers—General
17,TEAM,Software—Application
18,ADSK,Software—Application
19,BKR,Oil & Gas Equipment & Services
20,BIIB,Drug Manufacturers—General
21,BKNG,Travel Services
22,AVGO,Semiconductors
23,CDNS,Software—Application
24,CHTR,Telecom Services
25,CTAS,Specialty Business Services
26,CSCO,Communication Equipment
27,CTSH,Information Technology Services
28,CMCSA,Telecom Services
29,CEG,Utilities—Renewable
30,CPRT,Specialty Business Services
31,CSGP,Real Estate Services
32,COST,Discount Stores
33,CRWD,Software—Infrastructure
34,CSX,Railroads
35,DDOG,Software—Application
36,DXCM,Medical Devices
37,FANG,Oil & Gas E&P
38,DLTR,Discount Stores
39,EBAY,Internet Retail
40,EA,Electronic Gaming & Multimedia
41,ENPH,Solar
42,EXC,Utilities—Regulated Electric
43,FAST,Industrial Distribution
44,FTNT,Software—Infrastructure
45,GEHC,Health Information Services
46,GILD,Drug Manufacturers—General
47,GFS,Semiconductors
48,HON,Conglomerates
49,IDXX,Diagnostics & Research
50,ILMN,Diagnostics & Research
51,INTC,Semiconductors
52,INTU,Software—Application
53,ISRG,Medical Instruments & Supplies
54,JD,Internet Retail
55,KDP,Beverages—Non-Alcoholic
56,KLAC,Semiconductor Equipment & Materials
57,KHC,Packaged Foods
58,LRCX,Semiconductor Equipment & Materials
59,LCID,Auto Manufacturers
60,LULU,Apparel Retail
61,MAR,Lodging
62,MRVL,Semiconductors
63,MELI,Internet Retail
64,META,Internet Content & Information
65,MCHP,Semiconductors
66,MU,Semiconductors
67,MSFT,Software—Infrastructure
68,MRNA,Biotechnology
69,MDLZ,Confectioners
70,MNST,Beverages—Non-Alcoholic
71,NFLX,Entertainment
72,NVDA,Semiconductors
73,NXPI,Semiconductors
74,ORLY,Specialty Retail
75,ODFL,Trucking
76,PCAR,Farm & Heavy Construction Machinery
77,PANW,Software—Infrastructure
78,PAYX,Staffing & Employment Services
79,PYPL,Credit Services
80,PDD,Internet Retail
81,PEP,Beverages—Non-Alcoholic
82,QCOM,Semiconductors
83,REGN,Biotechnology
84,RIVN,Auto Manufacturers
85,ROST,Apparel Retail
86,SGEN,Biotechnology
87,SIRI,Entertainment
88,SBUX,Restaurants
89,SNPS,Software—Infrastructure
90,TMUS,Telecom Services
91,TSLA,Auto Manufacturers
92,TXN,Semiconductors
93,VRSK,Consulting Services
94,VRTX,Biotechnology
95,WBA,Pharmaceutical Retailers
96,WBD,Entertainment
97,WDAY,Software—Application
98,XEL,Utilities—Regulated Electric
99,ZM,Software—Application
100,ZS,Software—Infrastructure
