,Symbol,Industry
0,MMM,Conglomerates
1,AOS,Specialty Industrial Machinery
2,ABT,Medical Devices
3,ABBV,Drug Manufacturers—General
4,ACN,Information Technology Services
5,ATVI,Electronic Gaming & Multimedia
6,ADM,Farm Products
7,ADBE,Software—Infrastructure
8,ADP,Staffing & Employment Services
9,AAP,Specialty Retail
10,AES,Utilities—Diversified
11,AFL,Insurance—Life
12,A,Diagnostics & Research
13,APD,Specialty Chemicals
14,AKAM,Software—Infrastructure
15,ALK,Airlines
16,ALB,Specialty Chemicals
17,ARE,REIT—Office
18,ALGN,Medical Devices
19,ALLE,Security & Protection Services
20,LNT,Utilities—Regulated Electric
21,ALL,Insurance—Property & Casualty
22,GOOGL,Internet Content & Information
23,GOOG,Internet Content & Information
24,MO,Tobacco
25,AMZN,Internet Retail
26,AMCR,Packaging & Containers
27,AMD,Semiconductors
28,AEE,Utilities—Regulated Electric
29,AAL,Airlines
30,AEP,Utilities—Regulated Electric
31,AXP,Credit Services
32,AIG,Insurance—Diversified
33,AMT,REIT—Specialty
34,AWK,Utilities—Regulated Water
35,AMP,Asset Management
36,ABC,Medical Distribution
37,AME,Specialty Industrial Machinery
38,AMGN,Drug Manufacturers—General
39,APH,Electronic Components
40,ADI,Semiconductors
41,ANSS,Software—Application
42,AON,Insurance Brokers
43,APA,Oil & Gas E&P
44,AAPL,Consumer Electronics
45,AMAT,Semiconductor Equipment & Materials
46,APTV,Auto Parts
47,ACGL,Insurance—Diversified
48,ANET,Computer Hardware
49,AJG,Insurance Brokers
50,AIZ,Insurance—Specialty
51,T,Telecom Services
52,ATO,Utilities—Regulated Gas
53,ADSK,Software—Application
54,AZO,Specialty Retail
55,AVB,REIT—Residential
56,AVY,Packaging & Containers
57,AXON,Aerospace & Defense
58,BKR,Oil & Gas Equipment & Services
59,BALL,Packaging & Containers
60,BAC,Banks—Diversified
61,BBWI,Specialty Retail
62,BAX,Medical Instruments & Supplies
63,BDX,Medical Instruments & Supplies
64,WRB,Insurance—Property & Casualty
65,BRK-B,Insurance—Diversified
66,BBY,Specialty Retail
67,BIO,Medical Devices
68,TECH,Biotechnology
69,BIIB,Drug Manufacturers—General
70,BLK,Asset Management
71,BK,Asset Management
72,BA,Aerospace & Defense
73,BKNG,Travel Services
74,BWA,Auto Parts
75,BXP,REIT—Office
76,BSX,Medical Devices
77,BMY,Drug Manufacturers—General
78,AVGO,Semiconductors
79,BR,Information Technology Services
80,BRO,Insurance Brokers
81,BF-B,Beverages—Wineries & Distilleries
82,BG,Farm Products
83,CHRW,Integrated Freight & Logistics
84,CDNS,Software—Application
85,CZR,Resorts & Casinos
86,CPT,REIT—Residential
87,CPB,Packaged Foods
88,COF,Credit Services
89,CAH,Medical Distribution
90,KMX,Auto & Truck Dealerships
91,CCL,Travel Services
92,CARR,Building Products & Equipment
93,CTLT,Drug Manufacturers—Specialty & Generic
94,CAT,Miscellaneous
95,CBOE,Financial Data & Stock Exchanges
96,CBRE,Real Estate Services
97,CDW,Information Technology Services
98,CE,Chemicals
99,CNC,Healthcare Plans
100,CNP,Utilities—Regulated Electric
101,CDAY,Software—Application
102,CF,Agricultural Inputs
103,CRL,Diagnostics & Research
104,SCHW,Capital Markets
105,CHTR,Telecom Services
106,CVX,Oil & Gas Integrated
107,CMG,Restaurants
108,CB,Insurance—Property & Casualty
109,CHD,Household & Personal Products
