Industry,Symbol
Conglomerates,0001.HK
Utilities—Regulated Electric,0002.HK
Utilities—Regulated Gas,0003.HK
Real Estate—Development,0004.HK
Banks—Diversified,0005.HK
Utilities—Independent Power Producers,0006.HK
Electronics & Computer Distribution,0007.HK
Telecom Services,0008.HK
Real Estate—Development,0009.HK
Real Estate Services,0010.HK
Banks—Regional,0011.HK
Real Estate—Diversified,0012.HK
Drug Manufacturers—Specialty & Generic,0013.HK
Real Estate Services,0014.HK
Real Estate—Development,0016.HK
Real Estate—Diversified,0017.HK
Publishing,0018.HK
Conglomerates,0019.HK
Software—Application,0020.HK
Real Estate Services,0021.HK
Lodging,0022.HK
Banks—Regional,0023.HK
Conglomerates,0025.HK
Real Estate—Development,0026.HK
Resorts & Casinos,0027.HK
Real Estate—Development,0028.HK
Real Estate Services,0029.HK
Capital Markets,0030.HK
Electronic Components,0031.HK
Education & Training Services,0032.HK
Asset Management,0033.HK
Real Estate—Development,0034.HK
Real Estate—Development,0035.HK
Real Estate Services,0036.HK
Real Estate Services,0037.HK
Farm & Heavy Construction Machinery,0038.HK
Grocery Stores,0039.HK
Electronic Components,0040.HK
Real Estate—Diversified,0041.HK
Lodging,0042.HK
Lodging,0045.HK
Information Technology Services,0046.HK
Textile Manufacturing,0048.HK
Real Estate—Diversified,0050.HK
Real Estate—Development,0051.HK
Restaurants,0052.HK
Conglomerates,0053.HK
Specialty Business Services,0055.HK
Specialty Industrial Machinery,0057.HK
Building Materials,0058.HK
Real Estate—Development,0059.HK
Food Distribution,0060.HK
Coking Coal,0061.HK
Railroads,0062.HK
Real Estate Services,0063.HK
Capital Markets,0064.HK
Thermal Coal,0065.HK
Railroads,0066.HK
Lodging,0069.HK
Resorts & Casinos,0070.HK
Real Estate Services,0071.HK
Advertising Agencies,0072.HK
Food Distribution,0073.HK
Real Estate—Development,0075.HK
Electronic Components,0076.HK
Railroads,0077.HK
Lodging,0078.HK
Personal Services,0079.HK
Asset Management,0080.HK
Real Estate—Development,0081.HK
Gambling,0082.HK
Real Estate—Development,0083.HK
Luxury Goods,0084.HK
Semiconductors,0085.HK
Credit Services,0086.HK
Conglomerates,0087.HK
Real Estate—Development,0088.HK
Real Estate Services,0089.HK
Utilities—Renewable,0090.HK
Electronics & Computer Distribution,0091.HK
Oil & Gas Midstream,0092.HK
Real Estate Services,0093.HK
Lumber & Wood Production,0094.HK
Real Estate—Development,0095.HK
Auto Parts,0096.HK
Department Stores,0097.HK
Aluminum,0098.HK
Consumer Electronics,0099.HK
Real Estate Services,0101.HK
